ts,price,size,_ts_dt,_price,_size
2025-10-31T14:00:00Z,67999.3,0.001934,2025-10-31 14:00:00+00:00,67999.3,0.001934
2025-10-31T14:00:05Z,67998.46,0.004642,2025-10-31 14:00:05+00:00,67998.46,0.004642
2025-10-31T14:00:10Z,68000.14,0.002313,2025-10-31 14:00:10+00:00,68000.14,0.002313
2025-10-31T14:00:15Z,67998.82,0.001522,2025-10-31 14:00:15+00:00,67998.82,0.001522
2025-10-31T14:00:20Z,67995.27,0.002033,2025-10-31 14:00:20+00:00,67995.27,0.002033
2025-10-31T14:00:25Z,68000.48,0.002045,2025-10-31 14:00:25+00:00,68000.48,0.002045
2025-10-31T14:00:30Z,67996.02,0.003363,2025-10-31 14:00:30+00:00,67996.02,0.003363
2025-10-31T14:00:35Z,67986.3,0.001662,2025-10-31 14:00:35+00:00,67986.3,0.001662
2025-10-31T14:00:40Z,67990.96,0.003146,2025-10-31 14:00:40+00:00,67990.96,0.003146
2025-10-31T14:00:45Z,67988.63,0.00405,2025-10-31 14:00:45+00:00,67988.63,0.00405
2025-10-31T14:00:50Z,67982.75,0.001575,2025-10-31 14:00:50+00:00,67982.75,0.001575
2025-10-31T14:00:55Z,67982.76,0.004163,2025-10-31 14:00:55+00:00,67982.76,0.004163
2025-10-31T14:01:00Z,67981.33,0.00242,2025-10-31 14:01:00+00:00,67981.33,0.00242
2025-10-31T14:01:05Z,67983.63,0.003156,2025-10-31 14:01:05+00:00,67983.63,0.003156
2025-10-31T14:01:10Z,67976.6,0.00121,2025-10-31 14:01:10+00:00,67976.6,0.00121
2025-10-31T14:01:15Z,67974.61,0.002167,2025-10-31 14:01:15+00:00,67974.61,0.002167
2025-10-31T14:01:20Z,67971.44,0.002034,2025-10-31 14:01:20+00:00,67971.44,0.002034
2025-10-31T14:01:25Z,67968.64,0.001239,2025-10-31 14:01:25+00:00,67968.64,0.001239
2025-10-31T14:01:30Z,67962.47,0.001383,2025-10-31 14:01:30+00:00,67962.47,0.001383
2025-10-31T14:01:35Z,67953.23,0.004022,2025-10-31 14:01:35+00:00,67953.23,0.004022
2025-10-31T14:01:40Z,67954.89,0.001615,2025-10-31 14:01:40+00:00,67954.89,0.001615
2025-10-31T14:01:45Z,67954.16,0.002032,2025-10-31 14:01:45+00:00,67954.16,0.002032
2025-10-31T14:01:50Z,67961.8,0.002168,2025-10-31 14:01:50+00:00,67961.8,0.002168
2025-10-31T14:01:55Z,67964.35,0.001425,2025-10-31 14:01:55+00:00,67964.35,0.001425
2025-10-31T14:02:00Z,67966.24,0.006151,2025-10-31 14:02:00+00:00,67966.24,0.006151
2025-10-31T14:02:05Z,67968.47,0.001474,2025-10-31 14:02:05+00:00,67968.47,0.001474
2025-10-31T14:02:10Z,67968.72,0.002642,2025-10-31 14:02:10+00:00,67968.72,0.002642
2025-10-31T14:02:15Z,67973.08,0.002169,2025-10-31 14:02:15+00:00,67973.08,0.002169
2025-10-31T14:02:20Z,67974.36,0.002264,2025-10-31 14:02:20+00:00,67974.36,0.002264
2025-10-31T14:02:25Z,67975.3,0.003512,2025-10-31 14:02:25+00:00,67975.3,0.003512
2025-10-31T14:02:30Z,67975.05,0.002787,2025-10-31 14:02:30+00:00,67975.05,0.002787
2025-10-31T14:02:35Z,67973.48,0.001326,2025-10-31 14:02:35+00:00,67973.48,0.001326
2025-10-31T14:02:40Z,67966.41,0.002912,2025-10-31 14:02:40+00:00,67966.41,0.002912
2025-10-31T14:02:45Z,67965.35,0.001719,2025-10-31 14:02:45+00:00,67965.35,0.001719
2025-10-31T14:02:50Z,67960.38,0.002328,2025-10-31 14:02:50+00:00,67960.38,0.002328
2025-10-31T14:02:55Z,67957.64,0.001151,2025-10-31 14:02:55+00:00,67957.64,0.001151
2025-10-31T14:03:00Z,67957.57,0.003609,2025-10-31 14:03:00+00:00,67957.57,0.003609
2025-10-31T14:03:05Z,67951.0,0.003083,2025-10-31 14:03:05+00:00,67951.0,0.003083
2025-10-31T14:03:10Z,67953.91,0.002318,2025-10-31 14:03:10+00:00,67953.91,0.002318
2025-10-31T14:03:15Z,67958.42,0.001454,2025-10-31 14:03:15+00:00,67958.42,0.001454
2025-10-31T14:03:20Z,67956.88,0.002861,2025-10-31 14:03:20+00:00,67956.88,0.002861
2025-10-31T14:03:25Z,67956.93,0.003284,2025-10-31 14:03:25+00:00,67956.93,0.003284
2025-10-31T14:03:30Z,67964.06,0.001421,2025-10-31 14:03:30+00:00,67964.06,0.001421
2025-10-31T14:03:35Z,67961.31,0.001682,2025-10-31 14:03:35+00:00,67961.31,0.001682
2025-10-31T14:03:40Z,67959.78,0.003209,2025-10-31 14:03:40+00:00,67959.78,0.003209
2025-10-31T14:03:45Z,67963.71,0.001421,2025-10-31 14:03:45+00:00,67963.71,0.001421
2025-10-31T14:03:50Z,67965.16,0.001658,2025-10-31 14:03:50+00:00,67965.16,0.001658
2025-10-31T14:03:55Z,67965.06,0.002217,2025-10-31 14:03:55+00:00,67965.06,0.002217
2025-10-31T14:04:00Z,67959.94,0.002896,2025-10-31 14:04:00+00:00,67959.94,0.002896
2025-10-31T14:04:05Z,67962.22,0.00501,2025-10-31 14:04:05+00:00,67962.22,0.00501
2025-10-31T14:04:10Z,67968.44,0.002597,2025-10-31 14:04:10+00:00,67968.44,0.002597
